127.0.0.1 - - [30/Dec/2022:09:14:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:35 +0900] "GET /Kmarket/ HTTP/1.1" 200 36969
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:35 +0900] "GET /Kmarket/file/c5d44dd3-5d17-4196-a81f-c3759c2f241d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:35 +0900] "GET /Kmarket/file/491bf165-ce74-4cec-9f01-089edff05188.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:35 +0900] "GET /Kmarket/file/3938fcfa-e40a-4516-94b9-7db1b33e51ee.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:35 +0900] "GET /Kmarket/file/ea464f2f-7053-489b-97ba-5fcaad6346da.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:45 +0900] "GET /Kmarket/file/e672ef6a-0de0-4145-a937-ab4613e9fe68.jpg HTTP/1.1" 200 23571
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:45 +0900] "GET /Kmarket/product/view.do?cate1=11&cate2=11&prodNo=1000114 HTTP/1.1" 200 26279
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:45 +0900] "GET /Kmarket/file/a62ae6e3-5bad-480a-ae9f-d9f11e871f76.jpg HTTP/1.1" 200 136678
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:45 +0900] "GET /Kmarket/product/review.do?prodNo=1000114&start=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:50 +0900] "GET /Kmarket/member/login.do HTTP/1.1" 200 5104
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:50 +0900] "GET /Kmarket/css/css_member.css HTTP/1.1" 200 8315
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:50 +0900] "GET /Kmarket/img/img_user/member_login_banner.jpg HTTP/1.1" 200 30362
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:50 +0900] "GET /Kmarket/img/img_user/member_certifi_logo.gif HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:51 +0900] "GET /Kmarket/img/img_user/member_btn_login.gif HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:51 +0900] "POST /Kmarket/member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:51 +0900] "GET /Kmarket/index.do HTTP/1.1" 200 37244
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:58 +0900] "GET /Kmarket/product/view.do?cate1=11&cate2=13&prodNo=1000129 HTTP/1.1" 200 26208
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:58 +0900] "GET /Kmarket/file/3c5d0a2c-bbf1-4660-93b0-694145c95c68.jpg HTTP/1.1" 200 48735
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:58 +0900] "GET /Kmarket/file/640c8bc7-1d08-4bbc-b036-0888a753b738.jpg HTTP/1.1" 200 144681
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:14:58 +0900] "GET /Kmarket/product/review.do?prodNo=1000129&start=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:00 +0900] "GET /Kmarket/product/addCart.do?uid=java1234&prodNo=1000129&count=1&price=88600&discount=60&point=0&delivery=0&total=35440 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:01 +0900] "GET /Kmarket/product/cart.do?uid=java1234 HTTP/1.1" 200 18657
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:01 +0900] "GET /Kmarket/file/b8d0c766-329e-4959-b639-67d311132811.jpg HTTP/1.1" 200 6201
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:06 +0900] "GET /Kmarket/ HTTP/1.1" 200 37244
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:09 +0900] "GET /Kmarket/product/view.do?cate1=11&cate2=11&prodNo=1000105 HTTP/1.1" 200 26358
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:09 +0900] "GET /Kmarket/file/df9140d5-0cad-4c82-8223-e6877e5b6284.jpg HTTP/1.1" 200 29403
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:09 +0900] "GET /Kmarket/file/f92fcfa4-0ff8-408c-b800-3d9cdfff8830.jpg HTTP/1.1" 200 316284
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:09 +0900] "GET /Kmarket/product/review.do?prodNo=1000105&start=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:12 +0900] "GET /Kmarket/product/addCart.do?uid=java1234&prodNo=1000105&count=1&price=99000&discount=10&point=990&delivery=0&total=89100 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:13 +0900] "GET /Kmarket/product/cart.do?uid=java1234 HTTP/1.1" 200 20135
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:13 +0900] "GET /Kmarket/file/b545b96a-ad36-4233-92ba-486cb92cec0b.jpg HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:16 +0900] "POST /Kmarket/product/order.do HTTP/1.1" 200 25680
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:16 +0900] "GET /Kmarket/js/postcode.js HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:16 +0900] "GET /Kmarket/img/img_product/ico_kakaopay.gif HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:22 +0900] "POST /Kmarket/product/order.do HTTP/1.1" 200 24320
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:26 +0900] "GET /Kmarket/ HTTP/1.1" 200 37244
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:29 +0900] "GET /Kmarket/logout.do?uid=java1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:30 +0900] "GET /Kmarket/ HTTP/1.1" 200 36969
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:31 +0900] "GET /Kmarket/member/join.do HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:31 +0900] "GET /Kmarket/img/img_user/member_join_txt_normal.gif HTTP/1.1" 200 2818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:31 +0900] "GET /Kmarket/css/css_member.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:31 +0900] "GET /Kmarket/img/img_user/member_join_btn1.gif HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:31 +0900] "GET /Kmarket/img/img_user/member_join_txt_seller.gif HTTP/1.1" 200 5325
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:31 +0900] "GET /Kmarket/img/img_user/member_join_btn2.gif HTTP/1.1" 200 3352
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:31 +0900] "GET /Kmarket/img/img_user/member_join_tit_welcome.gif HTTP/1.1" 200 6849
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:31 +0900] "GET /Kmarket/img/img_user/member_join_tit_seller.gif HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:31 +0900] "GET /Kmarket/img/img_user/member_join_tit_normal.gif HTTP/1.1" 200 2889
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:31 +0900] "GET /Kmarket/img/img_user/member_join_banner1.jpg HTTP/1.1" 200 25267
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:31 +0900] "GET /Kmarket/img/img_user/member_join_banner2.jpg HTTP/1.1" 200 33334
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:32 +0900] "GET /Kmarket/member/signup.do?sign=1 HTTP/1.1" 200 111658
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:40 +0900] "GET /Kmarket/member/register.do HTTP/1.1" 200 7074
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:40 +0900] "GET /Kmarket/js/postcode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:40 +0900] "GET /Kmarket/js/register.js HTTP/1.1" 200 5946
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:41 +0900] "GET /Kmarket/member/chkUid.do?uid=java1234 HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:15:45 +0900] "GET /Kmarket/member/chkUid.do?uid=hoon HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:16:56 +0900] "POST /Kmarket/member/register.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:16:56 +0900] "GET /Kmarket/member/login.do?code=101 HTTP/1.1" 200 5107
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:16:56 +0900] "GET /Kmarket/css/css_member.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:16:56 +0900] "GET /Kmarket/img/img_user/member_login_banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:16:56 +0900] "GET /Kmarket/img/img_user/member_certifi_logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:16:57 +0900] "GET /Kmarket/img/img_user/member_btn_login.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:17:06 +0900] "POST /Kmarket/member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:17:06 +0900] "GET /Kmarket/index.do HTTP/1.1" 200 37081
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:17:20 +0900] "GET /Kmarket/cs/qna/list.do?group=%ED%9A%8C%EC%9B%90 HTTP/1.1" 200 6675
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:17:20 +0900] "GET /Kmarket/css/css_cs.css HTTP/1.1" 200 15193
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:17:20 +0900] "GET /Kmarket/img/img_cs/logo.png HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:17:24 +0900] "GET /Kmarket/cs/qna/list.do?group=%EB%B0%B0%EC%86%A1 HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:17:26 +0900] "GET /Kmarket/cs/qna/write.do?group=%EB%B0%B0%EC%86%A1 HTTP/1.1" 200 10711
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:18:08 +0900] "POST /Kmarket/cs/qna/write.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:18:08 +0900] "GET /Kmarket/cs/qna/list.do?group=%EB%B0%B0%EC%86%A1 HTTP/1.1" 200 5171
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:18:08 +0900] "GET /Kmarket/css/css_cs.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:18:08 +0900] "GET /Kmarket/img/img_cs/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:18:11 +0900] "GET /Kmarket/cs/qna/list.do?group=%EC%97%AC%ED%96%89/%EC%88%99%EB%B0%95/%ED%95%AD%EA%B3%B5 HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:18:13 +0900] "GET /Kmarket/cs/qna/list.do?group=%EC%BF%A0%ED%8F%B0/%EC%9D%B4%EB%B2%A4%ED%8A%B8 HTTP/1.1" 200 4901
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:18:14 +0900] "GET /Kmarket/cs/qna/list.do?group=%EC%A3%BC%EB%AC%B8/%EA%B2%B0%EC%A0%9C HTTP/1.1" 200 6001
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:18:15 +0900] "GET /Kmarket/cs/qna/list.do?group=%EC%97%AC%ED%96%89/%EC%88%99%EB%B0%95/%ED%95%AD%EA%B3%B5 HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:18:19 +0900] "GET /Kmarket/cs/qna/list.do?group=%EC%95%88%EC%A0%84%EA%B1%B0%EB%9E%98 HTTP/1.1" 200 4889
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:18:22 +0900] "GET /Kmarket/cs/qna/list.do?group=%EC%95%88%EC%A0%84%EA%B1%B0%EB%9E%98 HTTP/1.1" 200 4889
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:18:25 +0900] "GET /Kmarket/cs/qna/list.do?group=%EC%B7%A8%EC%86%8C/%EB%B0%98%ED%92%88/%EA%B5%90%ED%99%98 HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [30/Dec/2022:09:18:25 +0900] "GET /Kmarket/cs/qna/list.do?group=%EB%B0%B0%EC%86%A1 HTTP/1.1" 200 5171
